date,location_name,location,value
2022-04-15,Poland,PL,5464480
2022-04-15,Dolnoslaskie,PL72,415286
2022-04-15,Kujawsko-Pomorskie,PL73,319328
2022-04-15,Lodzkie,PL74,332066
2022-04-15,Lubelskie,PL75,285068
2022-04-15,Lubuskie,PL76,137275
2022-04-15,Malopolskie,PL77,430407
2022-04-15,Mazowieckie,PL78,830046
2022-04-15,Opolskie,PL79,134677
2022-04-15,Podkarpackie,PL80,227082
2022-04-15,Podlaskie,PL81,137867
2022-04-15,Pomorskie,PL82,358130
2022-04-15,Slaskie,PL83,659577
2022-04-15,Swietokrzyskie,PL84,130410
2022-04-15,Warminsko-Mazurskie,PL85,213156
2022-04-15,Wielkopolskie,PL86,518968
2022-04-15,Zachodniopomorskie,PL87,262124
2020-03-05,Poland,PL,1
2020-03-05,Dolnoslaskie,PL72,0
2020-03-05,Kujawsko-Pomorskie,PL73,0
2020-03-05,Lodzkie,PL74,0
2020-03-05,Lubelskie,PL75,0
2020-03-05,Lubuskie,PL76,1
2020-03-05,Malopolskie,PL77,0
2020-03-05,Mazowieckie,PL78,0
2020-03-05,Opolskie,PL79,0
2020-03-05,Podkarpackie,PL80,0
2020-03-05,Podlaskie,PL81,0
2020-03-05,Pomorskie,PL82,0
2020-03-05,Slaskie,PL83,0
2020-03-05,Swietokrzyskie,PL84,0
2020-03-05,Warminsko-Mazurskie,PL85,0
2020-03-05,Wielkopolskie,PL86,0
2020-03-05,Zachodniopomorskie,PL87,0
2020-03-06,Poland,PL,1
2020-03-06,Dolnoslaskie,PL72,0
2020-03-06,Kujawsko-Pomorskie,PL73,0
2020-03-06,Lodzkie,PL74,0
2020-03-06,Lubelskie,PL75,0
2020-03-06,Lubuskie,PL76,1
2020-03-06,Malopolskie,PL77,0
2020-03-06,Mazowieckie,PL78,0
2020-03-06,Opolskie,PL79,0
2020-03-06,Podkarpackie,PL80,0
2020-03-06,Podlaskie,PL81,0
2020-03-06,Pomorskie,PL82,0
2020-03-06,Slaskie,PL83,0
2020-03-06,Swietokrzyskie,PL84,0
2020-03-06,Warminsko-Mazurskie,PL85,0
2020-03-06,Wielkopolskie,PL86,0
2020-03-06,Zachodniopomorskie,PL87,0
2020-03-07,Poland,PL,5
2020-03-07,Dolnoslaskie,PL72,1
2020-03-07,Kujawsko-Pomorskie,PL73,0
2020-03-07,Lodzkie,PL74,0
2020-03-07,Lubelskie,PL75,0
2020-03-07,Lubuskie,PL76,1
2020-03-07,Malopolskie,PL77,0
2020-03-07,Mazowieckie,PL78,0
2020-03-07,Opolskie,PL79,0
2020-03-07,Podkarpackie,PL80,0
2020-03-07,Podlaskie,PL81,0
2020-03-07,Pomorskie,PL82,0
2020-03-07,Slaskie,PL83,0
2020-03-07,Swietokrzyskie,PL84,0
2020-03-07,Warminsko-Mazurskie,PL85,1
2020-03-07,Wielkopolskie,PL86,0
2020-03-07,Zachodniopomorskie,PL87,2
2020-03-08,Poland,PL,6
2020-03-08,Dolnoslaskie,PL72,1
2020-03-08,Kujawsko-Pomorskie,PL73,0
2020-03-08,Lodzkie,PL74,0
2020-03-08,Lubelskie,PL75,0
2020-03-08,Lubuskie,PL76,1
2020-03-08,Malopolskie,PL77,0
2020-03-08,Mazowieckie,PL78,0
2020-03-08,Opolskie,PL79,0
2020-03-08,Podkarpackie,PL80,0
2020-03-08,Podlaskie,PL81,0
2020-03-08,Pomorskie,PL82,0
2020-03-08,Slaskie,PL83,0
2020-03-08,Swietokrzyskie,PL84,0
2020-03-08,Warminsko-Mazurskie,PL85,2
2020-03-08,Wielkopolskie,PL86,0
2020-03-08,Zachodniopomorskie,PL87,2
2020-03-09,Poland,PL,11
2020-03-09,Dolnoslaskie,PL72,2
2020-03-09,Kujawsko-Pomorskie,PL73,0
2020-03-09,Lodzkie,PL74,0
2020-03-09,Lubelskie,PL75,0
2020-03-09,Lubuskie,PL76,1
2020-03-09,Malopolskie,PL77,0
2020-03-09,Mazowieckie,PL78,2
2020-03-09,Opolskie,PL79,0
2020-03-09,Podkarpackie,PL80,0
2020-03-09,Podlaskie,PL81,0
2020-03-09,Pomorskie,PL82,0
2020-03-09,Slaskie,PL83,2
2020-03-09,Swietokrzyskie,PL84,0
2020-03-09,Warminsko-Mazurskie,PL85,2
2020-03-09,Wielkopolskie,PL86,0
2020-03-09,Zachodniopomorskie,PL87,2
2020-03-10,Poland,PL,17
2020-03-10,Dolnoslaskie,PL72,3
2020-03-10,Kujawsko-Pomorskie,PL73,0
2020-03-10,Lodzkie,PL74,0
2020-03-10,Lubelskie,PL75,0
2020-03-10,Lubuskie,PL76,1
2020-03-10,Malopolskie,PL77,1
2020-03-10,Mazowieckie,PL78,2
2020-03-10,Opolskie,PL79,0
2020-03-10,Podkarpackie,PL80,0
2020-03-10,Podlaskie,PL81,0
2020-03-10,Pomorskie,PL82,0
2020-03-10,Slaskie,PL83,5
2020-03-10,Swietokrzyskie,PL84,0
2020-03-10,Warminsko-Mazurskie,PL85,2
2020-03-10,Wielkopolskie,PL86,1
2020-03-10,Zachodniopomorskie,PL87,2
2020-03-11,Poland,PL,22
2020-03-11,Dolnoslaskie,PL72,4
2020-03-11,Kujawsko-Pomorskie,PL73,0
2020-03-11,Lodzkie,PL74,0
2020-03-11,Lubelskie,PL75,1
2020-03-11,Lubuskie,PL76,1
2020-03-11,Malopolskie,PL77,1
2020-03-11,Mazowieckie,PL78,3
2020-03-11,Opolskie,PL79,0
2020-03-11,Podkarpackie,PL80,0
2020-03-11,Podlaskie,PL81,0
2020-03-11,Pomorskie,PL82,0
2020-03-11,Slaskie,PL83,7
2020-03-11,Swietokrzyskie,PL84,0
2020-03-11,Warminsko-Mazurskie,PL85,2
2020-03-11,Wielkopolskie,PL86,1
2020-03-11,Zachodniopomorskie,PL87,2
2020-03-12,Poland,PL,31
2020-03-12,Dolnoslaskie,PL72,4
2020-03-12,Kujawsko-Pomorskie,PL73,0
2020-03-12,Lodzkie,PL74,1
2020-03-12,Lubelskie,PL75,2
2020-03-12,Lubuskie,PL76,1
2020-03-12,Malopolskie,PL77,1
2020-03-12,Mazowieckie,PL78,4
2020-03-12,Opolskie,PL79,1
2020-03-12,Podkarpackie,PL80,1
2020-03-12,Podlaskie,PL81,0
2020-03-12,Pomorskie,PL82,0
2020-03-12,Slaskie,PL83,8
2020-03-12,Swietokrzyskie,PL84,0
2020-03-12,Warminsko-Mazurskie,PL85,4
2020-03-12,Wielkopolskie,PL86,2
